4.866459233537288528e-03,8.012434055425805557e-01,4.832881333203752593e-03,1.002710402744416474e+00
1.021865272441817574e-01,8.040298264176511944e-01,1.013902473699221513e-01,1.031537432926448616e+00
1.997387069956738648e-01,7.703414436877451532e-01,1.979887663014562038e-01,1.026426464703357411e+00
2.978809640630246669e-01,7.012652365539260302e-01,2.948779047843450574e-01,9.966369708210502942e-01
3.969763038604446903e-01,5.961566302297189868e-01,3.922237732216323214e-01,9.481745501606895221e-01
4.972847739738618378e-01,4.611125641138298925e-01,4.900853937447191555e-01,8.887589680193418440e-01
5.987981681000132950e-01,3.115540460701853309e-01,5.883869881209743413e-01,8.277400629405030630e-01
7.013115630286667068e-01,1.624437226561239456e-01,6.869587786679799413e-01,7.730880696782639339e-01
8.046274953234821004e-01,2.106450342837683232e-02,7.856139164325411928e-01,7.294758895875830262e-01
9.086266299294967208e-01,-1.110740275470523536e-01,8.841837869296134134e-01,6.989392645352956457e-01
1.013250488070318589e+00,-2.350286086015334064e-01,9.825107424364558639e-01,6.822324525006837614e-01
1.118499892166899823e+00,-3.527837444152918112e-01,1.080450526682059209e+00,6.797644345028646118e-01
1.224407389134492208e+00,-4.666767546640034903e-01,1.177838069543779564e+00,6.921008516271510702e-01
1.331040922698294660e+00,-5.793046016953302679e-01,1.274472226989970203e+00,7.203048351224619061e-01
1.438544839490737637e+00,-6.937243039530377464e-01,1.370117606350066408e+00,7.662880665389769641e-01
1.547127499537509943e+00,-8.138511736872102720e-01,1.464419303503320835e+00,8.334327924794522335e-01
1.657148721632436539e+00,-9.452679864553417133e-01,1.556836743110191712e+00,9.279330279021543726e-01
1.769276445829749633e+00,-1.097479936577230974e+00,1.646388328143282065e+00,1.062447054534152890e+00
1.885004871614282429e+00,-1.291926058373413566e+00,1.730672368495336899e+00,1.270059701809698849e+00
2.011572719366797379e+00,-1.635721525051796243e+00,1.795355179948169289e+00,1.764701260389413440e+00
